batch_idx	test_loss	test_token_accuracy	log_lhs	fraction_invalid	fraction_unique	top1_tanimoto_similarity	accuracy_top_1	accuracy_top_3	accuracy_top_5	accuracy_top_10
0	4.280448913574219	0.18421052	"[[-24.13245  -25.709509 -26.38188  -26.450819 -26.949406 -27.449326
  -27.466124 -27.543129 -27.949795 -29.233446]]"	1.0	0.0		0.0	0.0	0.0	0.0
1	2.5850272178649902	0.5090909	"[[-30.692516 -33.868305 -34.476856 -34.592773 -34.92787  -34.967804
  -35.267704 -35.424706 -35.992786 -40.293377]]"	1.0	0.0		0.0	0.0	0.0	0.0
